iter	Logloss
0	0.6181615194
1	0.5457744344
2	0.4902521261
3	0.4418204753
4	0.3947587585
5	0.3558456675
6	0.335152359
7	0.3029180145
8	0.286084493
9	0.2742823283
10	0.2589405568
11	0.2515142059
12	0.2351972961
13	0.2257385763
14	0.216698761
15	0.2090278244
16	0.20333697
17	0.1994469452
18	0.1950317383
19	0.1937863922
20	0.188323644
21	0.1868378067
22	0.1847377141
23	0.1825382233
24	0.1803604635
25	0.1780249532
26	0.1772013092
27	0.1763230387
28	0.1753937276
29	0.174859848
30	0.1736315282
31	0.1705591329
32	0.1681396612
33	0.1678798548
34	0.1672267024
35	0.1669371796
36	0.1665510305
37	0.1659722392
38	0.1654433441
39	0.164979833
40	0.1647639592
41	0.1637690989
42	0.1634699249
43	0.1624016698
44	0.1614731471
45	0.1612190374
46	0.1609631475
47	0.1607846832
48	0.1606012217
49	0.1604650116
50	0.1597639084
51	0.1595643361
52	0.1591000112
53	0.1585005697
54	0.1583778636
55	0.1582413483
56	0.1580541992
57	0.1578605398
58	0.1577450562
59	0.1575968679
60	0.1574314117
61	0.1573610814
62	0.1571909332
63	0.1570166906
64	0.1569064077
65	0.1568361791
66	0.1566842397
67	0.1565421549
68	0.1564369202
69	0.1562652969
70	0.1561392212
71	0.156019516
72	0.1559406153
73	0.1556965129
74	0.1555503845
75	0.15544988
76	0.1554332479
77	0.1553480021
78	0.1552025731
79	0.1550867335
80	0.1548005676
81	0.1546318309
82	0.1544470723
83	0.1543421046
84	0.1539908473
85	0.1538841502
86	0.1538197962
87	0.1537259547
88	0.1536070379
89	0.1534712855
90	0.1533878835
91	0.1532927577
92	0.1531916555
93	0.153041153
94	0.1529176203
95	0.1528218333
96	0.1527403641
97	0.1526609039
98	0.1525243632
99	0.1523897044
