iter	Passed	Remaining
0	151	14958
1	171	8380
2	184	5950
3	198	4756
4	207	3933
5	211	3321
6	216	2876
7	221	2548
8	226	2287
9	230	2074
10	235	1901
11	239	1758
12	244	1634
13	248	1527
14	253	1435
15	257	1352
16	262	1279
17	266	1213
18	270	1154
19	275	1100
20	279	1052
21	284	1007
22	289	967
23	293	930
24	298	896
25	303	862
26	308	833
27	312	803
28	316	775
29	321	749
30	325	724
31	330	701
32	334	679
33	340	661
34	345	642
35	350	623
36	356	606
37	360	588
38	366	572
39	370	555
40	375	540
41	380	525
42	385	511
43	390	496
44	395	483
45	400	470
46	405	457
47	412	446
48	418	435
49	422	422
50	428	411
51	433	400
52	438	389
53	446	380
54	451	369
55	456	358
56	460	347
57	465	336
58	469	326
59	474	316
60	478	305
61	482	296
62	487	286
63	492	276
64	496	267
65	500	257
66	504	248
67	509	239
68	513	230
69	517	221
70	521	212
71	526	204
72	531	196
73	535	188
74	540	180
75	545	172
76	550	164
77	554	156
78	559	148
79	564	141
80	569	133
81	574	126
82	578	118
83	582	111
84	587	103
85	591	96
86	595	89
87	599	81
88	604	74
89	608	67
90	613	60
91	617	53
92	622	46
93	626	40
94	631	33
95	635	26
96	642	19
97	647	13
98	652	6
99	656	0
