Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Converted
1,14.6517,0,0.0,19,283.8812,0.008014,0.042106,68.579222,0.0,June,1,2,1,1,Returning_Visitor,False,1
1,18.9189,2,54.9802,15,1241.7638,0.032395,0.058101,0.0,0.0,May,2,1,8,12,Returning_Visitor,False,0
1,30.0198,0,0.0,23,365.3384,0.006802,0.029451,0.0,0.0,Mar,1,2,1,3,New_Visitor,True,0
1,6.5566,0,0.0,6,687.4788,0.039577,0.104395,0.0,0.6,Dec,1,1,1,2,Returning_Visitor,True,0
1,112.5842,1,36.3523,19,656.4535,0.004594,0.038321,0.0,0.0,Mar,2,1,2,5,Returning_Visitor,False,0
1,43.01,1,13.0757,13,105.504,0.025687,0.064924,0.0,0.0,May,3,2,1,15,New_Visitor,False,0
1,7.2378,1,57.0617,27,1250.6608,0.02322,0.04882,29.298696,0.0,May,1,1,1,13,Returning_Visitor,True,1
1,9.6154,0,0.0,7,134.0504,0.034407,0.113875,0.0,0.0,Nov,2,1,1,6,Returning_Visitor,False,0
4,74.7781,1,10.502,35,3417.7199,0.013878,0.004163,0.0,0.0,Nov,1,1,2,19,Returning_Visitor,False,0
0,0.0,1,20.1697,7,297.5419,0.037608,0.082953,6.61723,0.0,May,1,1,7,20,Returning_Visitor,False,0
7,168.617,2,37.2674,21,787.4172,0.027009,0.039997,2.359946,0.0,Dec,1,3,2,3,Returning_Visitor,False,0
2,58.6841,1,4.3068,6,209.6257,0.039581,0.05626,0.0,0.0,Mar,3,1,5,1,New_Visitor,False,0
3,130.8345,0,0.0,20,355.8479,0.038388,0.056382,2.28877,0.0,Nov,2,1,8,20,Returning_Visitor,False,0
2,20.9098,1,23.0909,24,401.671,0.018093,0.005428,7.481198,0.0,Mar,6,1,6,12,Returning_Visitor,True,0
5,95.1019,0,0.0,27,590.934,0.0,0.007971,43.542631,0.0,May,3,4,6,17,Returning_Visitor,False,1
3,10.5216,0,0.0,5,423.8904,0.050411,0.070815,6.239543,0.0,Mar,7,5,5,15,Returning_Visitor,False,0
1,21.4624,1,29.7613,13,326.4058,0.017019,0.046588,0.0,0.2,Dec,1,6,1,18,Returning_Visitor,False,0
1,20.9493,0,0.0,26,562.5879,0.014829,0.038424,10.440986,0.0,Nov,2,5,1,9,Returning_Visitor,True,0
2,49.6093,1,31.7661,10,286.3293,0.026011,0.060428,39.322261,0.0,Jul,2,5,1,10,Returning_Visitor,False,1
2,50.8453,0,0.0,31,625.5557,0.015329,0.024316,23.243266,0.0,May,2,10,4,20,Returning_Visitor,False,1
3,70.8594,1,38.1956,34,2117.6093,0.012587,0.055607,0.0,0.0,May,5,1,2,14,Returning_Visitor,False,0
2,115.9074,0,0.0,11,521.5376,0.023787,0.042951,0.0,0.0,May,2,2,3,6,Returning_Visitor,False,0
1,23.8354,1,33.069,14,290.6508,0.025475,0.101896,0.0,0.0,May,1,1,6,9,New_Visitor,False,0
1,8.48,0,0.0,22,940.8938,0.024183,0.076189,0.0,0.0,Feb,3,5,1,1,New_Visitor,False,0
1,19.6936,0,0.0,10,493.0641,0.023926,0.073453,0.0,0.0,Sep,1,1,6,20,Returning_Visitor,False,0
3,87.3199,0,0.0,19,514.5348,0.015319,0.058607,11.249153,1.0,Aug,1,2,3,14,Returning_Visitor,False,0
3,67.7046,0,0.0,19,352.4222,0.013647,0.034694,0.0,0.0,Nov,2,1,3,11,Returning_Visitor,False,0
4,24.781,0,0.0,13,567.9762,0.03378,0.076967,0.0,0.0,May,1,2,1,11,Returning_Visitor,False,0
2,32.8172,0,0.0,26,944.2978,0.016765,0.03473,0.0,0.0,May,3,3,1,20,Returning_Visitor,False,0
3,99.5403,0,0.0,8,531.5615,0.011232,0.055068,0.0,0.0,June,2,2,3,13,Returning_Visitor,False,0
2,24.7644,0,0.0,111,4906.9062,0.000608,0.000183,75.678997,0.0,Mar,4,9,6,4,Returning_Visitor,False,1
1,10.328,0,0.0,18,686.5269,0.036433,0.052896,0.0,0.0,Aug,2,1,5,12,New_Visitor,False,0
2,18.622,0,0.0,10,1033.1525,0.02099,0.058862,0.0,0.6,Nov,1,2,5,1,Returning_Visitor,False,0
5,61.3902,0,0.0,67,1849.7803,0.014677,0.020147,30.810603,0.0,Mar,2,4,2,15,Returning_Visitor,False,1
4,46.1359,0,0.0,16,376.8942,0.011109,0.043679,0.0,0.0,May,3,2,4,15,Returning_Visitor,False,0
1,20.6243,0,0.0,7,346.0576,0.034226,0.097637,0.0,0.0,Nov,1,2,3,10,Returning_Visitor,True,0
4,53.2277,1,32.7789,12,924.8243,0.024239,0.038913,22.039763,0.0,May,1,1,1,16,Returning_Visitor,True,0
2,25.8193,0,0.0,42,2041.0347,0.017313,0.00927,57.333084,0.0,June,1,3,3,2,Returning_Visitor,False,1
1,10.4096,2,32.4684,15,966.5165,0.021299,0.056035,29.761205,0.0,Oct,1,1,1,2,Returning_Visitor,False,0
2,18.103,1,33.1597,10,399.6885,0.022522,0.063457,0.0,0.0,Jul,5,1,5,2,Returning_Visitor,False,0
4,78.864,0,0.0,26,475.4294,0.0,0.014495,21.07149,0.0,Mar,2,1,7,11,Returning_Visitor,False,1
1,7.7277,1,13.7755,33,1079.4778,0.0,0.021935,16.934838,0.0,Nov,2,1,7,1,Returning_Visitor,False,0
3,70.2059,0,0.0,26,841.6516,0.003071,0.037341,0.0,0.0,Nov,1,1,2,5,Returning_Visitor,False,0
1,21.5273,0,0.0,6,234.4182,0.047114,0.111065,3.660511,0.0,Mar,2,11,3,20,Returning_Visitor,True,0
1,28.9715,1,19.1179,4,110.5499,0.03668,0.085121,0.0,0.0,Mar,4,2,5,4,Returning_Visitor,False,0
2,41.1075,0,0.0,7,174.1648,0.018106,0.053261,0.0,0.0,Oct,1,12,4,20,Returning_Visitor,True,0
1,7.7258,1,36.7247,12,748.8127,0.018797,0.054482,0.0,0.0,Aug,5,2,1,16,Returning_Visitor,False,0
6,169.6157,2,68.1291,40,1037.8381,0.0,0.010752,19.669411,0.0,May,1,4,3,8,Returning_Visitor,True,1
0,0.0,1,59.8219,8,198.2113,0.051432,0.101621,0.0,1.0,June,1,1,3,15,Returning_Visitor,False,0
0,0.0,0,0.0,9,326.7933,0.047597,0.08587,0.0,0.0,Oct,4,2,6,14,Returning_Visitor,False,0
3,33.8615,1,19.3192,4,246.0857,0.047581,0.098174,0.0,0.0,May,2,1,6,13,Returning_Visitor,False,0
1,32.8806,1,13.5481,21,390.3196,0.00658,0.023444,0.0,0.0,Mar,2,1,4,2,Returning_Visitor,False,0
5,105.551,1,8.2442,45,854.2756,0.0,0.02432,59.73783,0.0,Mar,6,1,1,2,Returning_Visitor,False,1
3,25.1216,3,28.3656,23,960.0863,0.008139,0.063224,0.0,0.0,May,4,2,3,15,Returning_Visitor,True,0
4,343.8633,1,12.5465,18,588.1982,0.01939,0.03274,10.346819,0.0,Nov,8,2,7,8,Returning_Visitor,False,0
2,88.9834,1,54.8972,13,240.4432,0.021579,0.075344,0.0,0.0,June,3,1,1,10,Returning_Visitor,False,0
1,13.6783,0,0.0,21,733.4821,0.015417,0.051869,0.0,0.0,May,2,6,6,14,Returning_Visitor,True,0
1,11.5653,1,2.7843,36,1233.1148,0.014896,0.038473,44.533502,0.0,Nov,2,7,1,10,Returning_Visitor,True,1
1,16.4831,1,7.4486,8,984.4126,0.039574,0.093893,0.0,0.0,May,1,3,8,8,Returning_Visitor,False,0
4,42.6736,0,0.0,22,282.3344,0.011374,0.04518,43.209837,0.0,May,1,2,8,3,Returning_Visitor,False,1
2,35.3369,0,0.0,15,539.3856,0.020973,0.088986,0.0,0.0,Mar,4,2,9,20,Returning_Visitor,True,0
3,176.5448,2,17.4504,15,1111.2281,0.019587,0.034136,0.0,0.0,Oct,1,1,2,8,Returning_Visitor,False,0
2,23.3073,1,19.7036,9,87.1105,0.032241,0.05642,3.912055,0.0,Oct,5,2,6,16,Returning_Visitor,False,0
0,0.0,1,11.6391,7,307.365,0.040965,0.07837,3.670891,0.0,Nov,1,1,2,4,Returning_Visitor,True,0
5,55.4444,2,73.2155,24,276.5691,0.014556,0.02948,20.446115,0.0,May,1,9,1,7,Returning_Visitor,False,1
0,0.0,1,15.2987,16,533.8207,0.031465,0.074111,0.0,0.0,May,1,2,2,1,Returning_Visitor,False,0
0,0.0,0,0.0,20,304.8264,0.008101,0.0571,0.0,0.0,Mar,1,1,6,2,Returning_Visitor,False,0
0,0.0,0,0.0,48,2257.9784,0.0,0.013997,41.459225,0.2,Dec,1,1,1,9,Returning_Visitor,True,1
2,36.0001,0,0.0,14,1271.6416,0.022141,0.041914,3.767408,0.0,Mar,1,1,2,7,Returning_Visitor,True,0
3,45.2714,0,0.0,9,121.3688,0.021051,0.088707,0.0,0.0,Sep,3,1,3,3,Returning_Visitor,False,0
2,86.7939,1,56.9227,8,369.7206,0.049453,0.100108,0.0,0.0,Oct,2,3,6,5,Returning_Visitor,False,0
5,173.5671,1,100.3073,21,845.0325,0.03237,0.049858,0.0,0.0,Mar,1,2,1,4,Returning_Visitor,False,0
0,0.0,1,12.2508,17,1303.6727,0.024762,0.012618,0.0,0.0,May,1,3,1,16,Returning_Visitor,True,0
2,16.9224,3,30.2341,9,273.1985,0.028941,0.098363,0.0,0.0,Mar,1,2,1,7,Returning_Visitor,False,0
0,0.0,1,5.9705,25,499.5019,0.012933,0.041517,0.0,0.0,June,5,6,3,7,Returning_Visitor,True,0
2,28.1993,0,0.0,15,627.0755,0.008799,0.043104,0.0,0.0,Dec,4,1,3,10,Returning_Visitor,False,0
1,72.3353,0,0.0,12,671.7442,0.035967,0.055705,0.0,0.0,May,1,2,2,4,Returning_Visitor,False,0
1,13.0571,0,0.0,18,815.5012,0.003666,0.051422,39.205458,0.0,Dec,1,2,3,5,Returning_Visitor,True,0
0,0.0,0,0.0,10,103.5645,0.026896,0.0784,0.0,0.0,Mar,1,11,2,5,Returning_Visitor,False,0
2,24.7767,0,0.0,13,782.4632,0.030853,0.104572,0.0,0.0,May,3,1,1,20,Returning_Visitor,False,0
4,168.0787,2,102.7102,22,1080.1575,0.027704,0.035625,5.091991,0.0,Nov,1,1,1,13,Returning_Visitor,False,1
1,18.9219,0,0.0,29,370.8557,0.035523,0.061305,2.389717,0.0,Nov,3,1,3,19,Returning_Visitor,False,0
1,24.5011,0,0.0,20,940.8138,0.04361,0.063269,0.977872,0.0,May,1,10,7,18,Returning_Visitor,False,0
1,36.0967,0,0.0,12,477.1069,0.043375,0.059328,0.0,0.0,Sep,3,1,2,5,Returning_Visitor,True,0
2,50.5577,1,9.3331,19,936.0339,0.01393,0.036258,0.0,0.0,Nov,1,1,3,1,Returning_Visitor,False,0
2,15.2349,2,22.2722,40,1155.5738,0.0,0.014734,0.0,0.0,Nov,1,6,6,9,Returning_Visitor,False,0
1,23.3966,1,18.3378,13,413.9876,0.03053,0.055394,0.0,0.0,Aug,1,8,3,8,Returning_Visitor,False,0
1,16.8381,1,11.1706,10,220.5723,0.021347,0.077057,7.206742,0.0,Mar,3,2,1,13,Returning_Visitor,False,0
4,46.7447,0,0.0,92,2275.8079,0.0,0.0,17.064567,0.0,Mar,3,1,2,4,Returning_Visitor,True,1
4,95.0667,0,0.0,33,1588.099,0.0,0.010224,0.0,0.0,Aug,2,2,1,4,Returning_Visitor,True,0
2,11.4845,1,17.8232,16,708.9483,0.021388,0.048881,0.0,0.0,May,1,1,7,5,Returning_Visitor,True,0
5,60.162,0,0.0,11,402.6164,0.031489,0.073395,4.46753,0.2,May,2,1,9,13,Returning_Visitor,False,0
4,29.9015,1,27.0956,46,977.1557,0.010435,0.013682,46.267256,0.0,May,1,2,1,4,Returning_Visitor,False,1
4,38.0158,1,13.9612,6,126.1778,0.040593,0.049305,0.0,0.0,May,2,4,3,9,Returning_Visitor,False,0
3,91.8265,2,16.1055,14,361.1045,0.029316,0.039429,7.317405,0.0,May,4,1,1,6,Returning_Visitor,False,0
2,12.3992,0,0.0,27,4110.9579,0.000593,0.046209,0.0,0.0,May,1,2,1,1,Returning_Visitor,False,0
1,19.8432,1,41.1608,21,256.7511,0.001126,0.050686,8.07131,0.0,May,4,1,1,4,Returning_Visitor,False,0
0,0.0,0,0.0,11,124.2032,0.06983,0.08689,0.0,0.0,Mar,5,1,1,6,Returning_Visitor,False,0
2,32.7064,0,0.0,18,531.4054,0.016291,0.045633,0.0,0.0,Nov,6,1,4,17,Returning_Visitor,False,0
1,7.9572,1,18.6669,6,629.5673,0.021667,0.063471,0.0,0.0,Aug,1,1,2,4,New_Visitor,False,0
1,16.4227,0,0.0,4,82.3734,0.054515,0.077728,0.0,0.0,Mar,5,1,4,12,New_Visitor,False,0
0,0.0,0,0.0,13,277.7164,0.015097,0.087474,0.0,0.0,May,1,1,8,17,Returning_Visitor,False,0
2,15.9213,0,0.0,33,639.2325,0.0,0.011269,22.435737,0.0,May,1,1,7,20,Returning_Visitor,False,1
3,45.8215,1,37.2798,35,1025.693,0.0,0.031995,81.41967,0.0,Aug,2,1,1,10,New_Visitor,False,1
2,44.6285,1,17.2673,13,351.6103,0.019653,0.08999,3.473728,0.0,Aug,1,1,2,1,Returning_Visitor,False,0
5,49.346,0,0.0,24,382.5953,0.030617,0.06264,13.862693,0.0,Sep,1,1,8,4,Returning_Visitor,False,0
0,0.0,1,15.8421,13,314.4619,0.014592,0.087236,0.0,0.0,Oct,5,3,8,11,Returning_Visitor,True,0
2,57.532,0,0.0,5,88.672,0.038082,0.095193,0.0,0.0,Mar,1,3,5,12,Returning_Visitor,False,0
2,39.4141,1,22.1425,20,152.1992,0.015991,0.075879,3.884037,0.0,May,2,1,1,20,Returning_Visitor,False,0
1,29.0231,2,23.543,16,414.6477,0.022921,0.053749,0.0,0.0,Feb,4,11,2,9,New_Visitor,True,0
4,122.0237,0,0.0,29,744.2839,0.012951,0.029362,0.0,0.0,May,1,1,1,9,Returning_Visitor,False,0
4,41.7709,3,102.3891,38,1748.1104,0.023951,0.048927,0.0,0.0,May,6,3,1,9,Returning_Visitor,True,0
3,14.8508,3,57.7176,18,242.7017,0.011546,0.02608,13.136483,0.0,Oct,8,1,1,6,Returning_Visitor,False,0
0,0.0,0,0.0,19,671.0807,0.0,0.047186,23.978696,0.0,Mar,1,1,4,5,Returning_Visitor,True,0
3,25.378,1,23.4374,12,538.5911,0.033779,0.050858,3.335165,0.0,Aug,2,1,4,19,Returning_Visitor,True,0
1,7.2211,1,25.2931,15,338.4037,0.022939,0.059988,0.0,0.0,May,1,1,3,13,New_Visitor,False,0
1,16.22,0,0.0,9,976.6365,0.034377,0.089791,0.0,0.0,May,7,2,8,18,Returning_Visitor,True,0
2,18.3793,1,17.0984,8,1019.7453,0.038868,0.056484,0.0,0.2,Oct,1,1,5,17,Returning_Visitor,False,0
3,83.0818,0,0.0,43,949.7807,0.0,0.008843,42.972886,0.0,Mar,2,6,2,18,Returning_Visitor,False,1
