iter	Logloss
0	0.6181615194
1	0.5457744344
2	0.4902521261
3	0.4418204753
4	0.3947587585
5	0.3558456675
6	0.335152359
7	0.3029180145
8	0.286084493
9	0.2742823283
10	0.2589405568
11	0.2515142059
12	0.2351972961
13	0.2257385763
14	0.216698761
15	0.2090278244
16	0.20333697
17	0.1994469452
18	0.1950317383
19	0.1937647756
20	0.1883024216
21	0.1868162409
22	0.1847158559
23	0.1836967723
24	0.1813723501
25	0.1796048991
26	0.1789311981
27	0.1779625066
28	0.1769337972
29	0.1763399887
30	0.1739330292
31	0.1718545024
32	0.1709485118
33	0.1704079692
34	0.1681586583
35	0.1669591268
36	0.1666393789
37	0.1663675308
38	0.1649206034
39	0.1647060649
40	0.1643568675
41	0.1641486867
42	0.1639153544
43	0.1628432719
44	0.1627369563
45	0.1617882284
46	0.1615695699
47	0.1608127085
48	0.1606708654
49	0.1604335276
50	0.1602981822
51	0.1601371765
52	0.1599206924
53	0.1597702789
54	0.1596192678
55	0.1594731522
56	0.1592769368
57	0.1587293879
58	0.1585538737
59	0.1584193929
60	0.1581841024
61	0.1579890569
62	0.1573946889
63	0.1572533925
64	0.157114563
65	0.1570553207
66	0.1569144185
67	0.1567110316
68	0.1562755076
69	0.1561545563
70	0.1559359233
71	0.1557690048
72	0.1556933339
73	0.1555475871
74	0.1554273733
75	0.1551753998
76	0.1550706736
77	0.1548328527
78	0.1547326406
79	0.1545817693
80	0.1544317881
81	0.1542335002
82	0.1541310501
83	0.1538361613
84	0.1537273916
85	0.1536345164
86	0.1535647456
87	0.1534100596
88	0.1532707087
89	0.1531992467
90	0.1531312688
91	0.1530173238
92	0.1529112498
93	0.1528129578
94	0.1526671982
95	0.1526273346
96	0.1525663249
97	0.1524583817
98	0.1523788961
99	0.1522679647
