iter	Passed	Remaining
0	169	16746
1	175	8609
2	180	5826
3	184	4433
4	190	3614
5	194	3042
6	198	2637
7	204	2349
8	209	2113
9	214	1927
10	218	1771
11	224	1644
12	228	1532
13	234	1440
14	240	1364
15	246	1291
16	250	1225
17	257	1170
18	261	1113
19	266	1066
20	271	1022
21	276	980
22	281	941
23	287	908
24	291	875
25	295	842
26	300	812
27	305	785
28	310	760
29	315	735
30	320	713
31	325	690
32	329	668
33	334	648
34	339	630
35	344	612
36	349	595
37	354	579
38	359	561
39	364	546
40	369	531
41	373	516
42	378	501
43	383	488
44	387	474
45	392	460
46	398	449
47	404	438
48	409	426
49	415	415
50	419	403
51	425	392
52	429	381
53	435	370
54	439	359
55	443	348
56	449	339
57	454	328
58	458	318
59	462	308
60	467	298
61	472	289
62	477	280
63	482	271
64	486	262
65	490	252
66	496	244
67	500	235
68	505	227
69	511	219
70	517	211
71	523	203
72	528	195
73	533	187
74	538	179
75	544	171
76	550	164
77	557	157
78	562	149
79	568	142
80	573	134
81	578	127
82	583	119
83	588	112
84	593	104
85	598	97
86	603	90
87	609	83
88	613	75
89	617	68
90	621	61
91	626	54
92	630	47
93	634	40
94	641	33
95	645	26
96	650	20
97	654	13
98	659	6
99	664	0
